request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_204,0.00,not_affordable,not_recommended,none,,none,The requested EUR 588.74 cannot be completed safely while protecting the minimum balance.
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,IDR 10621000.00 of IDR 10621000.00 is safe to pay now while keeping the minimum balance protected.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,The full EUR 1404.70 can be completed through the selected installment plan while protecting the minimum balance.
request_207,6965.65,affordable_later,wait,none,2026-07-15,none,The full ZAR 11830.00 is not safe now but is expected to be safe from 2026-07-15 while protecting the minimum balance.
request_208,4413000.00,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,none,IDR 4413000.00 of IDR 4413000.00 is safe to pay now while keeping the minimum balance protected.
request_209,1984.43,affordable_later,wait,none,2026-02-15,none,The full ZAR 56914.00 is not safe now but is expected to be safe from 2026-02-15 while protecting the minimum balance.
request_210,1100.68,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,The full USD 1360.02 can be completed through the selected installment plan while protecting the minimum balance.
request_211,86.35,not_affordable,not_recommended,none,,none,"Only EUR 86.35 is currently safe, so the requested EUR 1788.60 should not proceed."
request_212,7816237.96,not_affordable,not_recommended,none,,none,"Only IDR 7816237.96 is currently safe, so the requested IDR 71934000.00 should not proceed."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,The full USD 3362.40 can be completed through the selected installment plan while protecting the minimum balance.
request_214,69750.00,affordable_with_plan,installments,2024-12-04:36270.00|2025-01-01:36270.00,2024-12-04,none,The full INR 69750.00 can be completed through the selected installment plan while protecting the minimum balance.
request_215,29986.00,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,The full ZAR 29986.00 can be completed through the selected installment plan while protecting the minimum balance.
request_216,721.02,affordable_later,wait,none,2026-07-15,none,The full USD 3332.40 is not safe now but is expected to be safe from 2026-07-15 while protecting the minimum balance.
request_217,23227.42,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,The full ZAR 37180.00 can be completed through the selected installment plan while protecting the minimum balance.
request_218,27499798.58,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,The full IDR 61142000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_219,670.26,not_affordable,not_recommended,none,,none,"Only EUR 670.26 is currently safe, so the requested EUR 1673.10 should not proceed."
request_220,0.00,not_affordable,not_recommended,none,,none,The requested EUR 3118.50 cannot be completed safely while protecting the minimum balance.
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,INR 109800.00 of INR 109800.00 is safe to pay now while keeping the minimum balance protected.
request_222,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 34078.00 cannot be completed safely while protecting the minimum balance.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,EUR 898.70 of EUR 898.70 is safe to pay now while keeping the minimum balance protected.
request_224,10327000.00,affordable_with_plan,installments,2025-02-04:5370040.00|2025-03-04:5370040.00,2025-02-04,none,The full IDR 10327000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_225,11206743.16,affordable_with_plan,installments,2026-07-20:7647120.00|2026-08-19:7647120.00|2026-09-18:7647120.00,2026-08-15,none,The full IDR 22059000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_226,157000.00,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,INR 157000.00 of INR 157000.00 is safe to pay now while keeping the minimum balance protected.
request_227,16271.22,affordable_later,wait,none,2025-08-15,none,The full INR 259700.00 is not safe now but is expected to be safe from 2025-08-15 while protecting the minimum balance.
request_228,0.00,not_affordable,not_recommended,none,,none,The requested IDR 63327000.00 cannot be completed safely while protecting the minimum balance.
request_229,537.93,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,The full EUR 1526.80 can be completed through the selected installment plan while protecting the minimum balance.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,EUR 3537.60 of EUR 3537.60 is safe to pay now while keeping the minimum balance protected.
request_231,35706.00,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,The full ZAR 35706.00 can be completed through the selected installment plan while protecting the minimum balance.
request_232,0.00,not_affordable,not_recommended,none,,none,The requested EUR 1970.10 cannot be completed safely while protecting the minimum balance.
request_233,0.00,not_affordable,not_recommended,none,,none,The requested IDR 6241000.00 cannot be completed safely while protecting the minimum balance.
request_234,324.26,affordable_later,wait,none,2026-08-15,none,The full EUR 1213.30 is not safe now but is expected to be safe from 2026-08-15 while protecting the minimum balance.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,USD 967.20 of USD 967.20 is safe to pay now while keeping the minimum balance protected.
request_236,7243023.99,affordable_later,wait,none,2025-05-15,none,The full IDR 52383000.00 is not safe now but is expected to be safe from 2025-05-15 while protecting the minimum balance.
request_237,0.00,not_affordable,not_recommended,none,,none,The requested IDR 23826000.00 cannot be completed safely while protecting the minimum balance.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,The full USD 663.60 can be completed through the selected installment plan while protecting the minimum balance.
request_239,0.00,not_affordable,not_recommended,none,,none,The requested USD 642.00 cannot be completed safely while protecting the minimum balance.
request_240,0.00,not_affordable,not_recommended,none,,none,The requested INR 101200.00 cannot be completed safely while protecting the minimum balance.
request_241,21052000.00,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,The full IDR 21052000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_242,0.00,not_affordable,not_recommended,none,,none,The requested EUR 1966.80 cannot be completed safely while protecting the minimum balance.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,ZAR 17468.00 of ZAR 17468.00 is safe to pay now while keeping the minimum balance protected.
request_244,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 49918.00 cannot be completed safely while protecting the minimum balance.
request_245,40476.85,affordable_later,wait,none,2025-11-15,none,The full INR 128500.00 is not safe now but is expected to be safe from 2025-11-15 while protecting the minimum balance.
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,The full ZAR 64086.00 can be completed through the selected installment plan while protecting the minimum balance.
request_247,0.00,not_affordable,not_recommended,none,,none,The requested EUR 1059.30 cannot be completed safely while protecting the minimum balance.
request_248,0.00,not_affordable,not_recommended,none,,none,The requested USD 1965.60 cannot be completed safely while protecting the minimum balance.
request_249,214.40,affordable_later,wait,none,2026-02-15,none,The full USD 643.20 is not safe now but is expected to be safe from 2026-02-15 while protecting the minimum balance.
request_250,17762.28,affordable_later,wait,none,2025-01-15,none,The full ZAR 124278.00 is not safe now but is expected to be safe from 2025-01-15 while protecting the minimum balance.
request_251,1162.19,not_affordable,not_recommended,none,,none,"Only EUR 1162.19 is currently safe, so the requested EUR 1513.60 should not proceed."
request_252,6920874.65,affordable_later,wait,none,2026-08-15,none,The full IDR 28082000.00 is not safe now but is expected to be safe from 2026-08-15 while protecting the minimum balance.
request_253,1478.88,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,The full EUR 2840.20 can be completed through the selected installment plan while protecting the minimum balance.
request_254,824.45,affordable_later,wait,none,2025-09-15,none,The full USD 3535.20 is not safe now but is expected to be safe from 2025-09-15 while protecting the minimum balance.
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,IDR 3345000.00 of IDR 3345000.00 is safe to pay now while keeping the minimum balance protected.
request_256,133937.27,not_affordable,not_recommended,none,,none,"Only INR 133937.27 is currently safe, so the requested INR 218700.00 should not proceed."
request_257,661.91,affordable_later,wait,none,2025-11-15,none,The full USD 1352.40 is not safe now but is expected to be safe from 2025-11-15 while protecting the minimum balance.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,USD 1113.60 of USD 1113.60 is safe to pay now while keeping the minimum balance protected.
request_259,248.47,affordable_later,wait,none,2024-10-15,none,The full EUR 935.00 is not safe now but is expected to be safe from 2024-10-15 while protecting the minimum balance.
request_260,11491991.75,affordable_later,wait,none,2025-02-15,none,The full IDR 52079000.00 is not safe now but is expected to be safe from 2025-02-15 while protecting the minimum balance.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,EUR 1830.40 of EUR 1830.40 is safe to pay now while keeping the minimum balance protected.
request_262,9236000.00,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,IDR 9236000.00 of IDR 9236000.00 is safe to pay now while keeping the minimum balance protected.
request_263,9282.46,affordable_later,wait,none,2025-06-15,none,The full ZAR 51546.00 is not safe now but is expected to be safe from 2025-06-15 while protecting the minimum balance.
request_264,27291.46,affordable_later,wait,none,2026-05-15,none,The full INR 111300.00 is not safe now but is expected to be safe from 2026-05-15 while protecting the minimum balance.
request_265,0.00,not_affordable,not_recommended,none,,none,The requested INR 45970.00 cannot be completed safely while protecting the minimum balance.
request_266,859.63,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,The full EUR 935.00 can be completed through the selected installment plan while protecting the minimum balance.
request_267,1847.77,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,The full EUR 1925.00 can be completed through the selected installment plan while protecting the minimum balance.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,The full EUR 2426.60 can be completed through the selected installment plan while protecting the minimum balance.
request_269,0.00,not_affordable,not_recommended,none,,none,The requested ZAR 15490.00 cannot be completed safely while protecting the minimum balance.
request_270,242.77,affordable_later,wait,none,2026-09-15,none,The full USD 3028.80 is not safe now but is expected to be safe from 2026-09-15 while protecting the minimum balance.
request_271,29294.34,affordable_later,wait,none,2024-10-15,none,The full INR 91300.00 is not safe now but is expected to be safe from 2024-10-15 while protecting the minimum balance.
request_272,6102616.21,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,The full IDR 13585000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_273,10764260.96,affordable_with_plan,installments,2026-04-07:5498480.00|2026-05-05:5498480.00|2026-06-02:5498480.00,2026-04-15,none,The full IDR 15861000.00 can be completed through the selected installment plan while protecting the minimum balance.
request_274,2449.98,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,The full EUR 2713.70 can be completed through the selected installment plan while protecting the minimum balance.
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,IDR 15884000.00 of IDR 15884000.00 is safe to pay now while keeping the minimum balance protected.
